name,tier,parentName,,,,,,,,,,,,,,,,,,
LO,Head,DGPHQ,,,,,,,,,,,,,,,,,,
ZONE AGRA,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE PRAYAGRAJ,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE BAREILLY,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE GORAKHPUR,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE KANPUR,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE LUCKNOW,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE MEERUT,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
ZONE VARANASI,Regional,Command Head Office,,,,,,,,,,,,,,,,,,
RANGE AGRA,Zonal,ZONE AGRA,,,,,,,,,,,,,,,,,,
RANGE ALIGARH,Zonal,ZONE AGRA,,,,,,,,,,,,,,,,,,
RANGE PRAYAGRA,Zonal,ZONE PRAYAGRAJ,,,,,,,,,,,,,,,,,,
RANGE BANDA,Zonal,ZONE PRAYAGRAJ,,,,,,,,,,,,,,,,,,
RANGE BAREILLY,Zonal,ZONE BAREILLY,,,,,,,,,,,,,,,,,,
RANGE MORADABAD,Zonal,ZONE BAREILLY,,,,,,,,,,,,,,,,,,
RANGE GORAKHPUR,Zonal,ZONE GORAKHPUR,,,,,,,,,,,,,,,,,,
RANGE BASTI,Zonal,ZONE GORAKHPUR,,,,,,,,,,,,,,,,,,
RANGE DEVIPATAN,Zonal,ZONE GORAKHPUR,,,,,,,,,,,,,,,,,,
RANGE KANPUR,Zonal,ZONE KANPUR,,,,,,,,,,,,,,,,,,
RANGE JHANSI,Zonal,ZONE KANPUR,,,,,,,,,,,,,,,,,,
RANGE LUCKNOW,Zonal,ZONE LUCKNOW,,,,,,,,,,,,,,,,,,
RANGE AYODHYA,Zonal,ZONE LUCKNOW,,,,,,,,,,,,,,,,,,
RANGE MEERUT,Zonal,ZONE MEERUT,,,,,,,,,,,,,,,,,,
RANGE SAHARANPUR,Zonal,ZONE MEERUT,,,,,,,,,,,,,,,,,,
RANGE VARANASI,Zonal,ZONE VARANASI,,,,,,,,,,,,,,,,,,
RANGE AZAMGARH,Zonal,ZONE VARANASI,,,,,,,,,,,,,,,,,,
RANGE MIRZAPUR,Zonal,ZONE VARANASI,,,,,,,,,,,,,,,,,,
MATHURA,District,RANGE AGRA,,,,,,,,,,,,,,,,,,
MAINPURI,District,RANGE AGRA,,,,,,,,,,,,,,,,,,
FIROZABAD,District,RANGE AGRA,,,,,,,,,,,,,,,,,,
ALIGARH,District,RANGE ALIGARH,,,,,,,,,,,,,,,,,,
ETAH,District,RANGE ALIGARH,,,,,,,,,,,,,,,,,,
HATHRAS,District,RANGE ALIGARH,,,,,,,,,,,,,,,,,,
KASGANJ,District,RANGE ALIGARH,,,,,,,,,,,,,,,,,,
KAUSHAMBI,District,RANGE PRAYAGRA,,,,,,,,,,,,,,,,,,
FATEHPUR,District,RANGE PRAYAGRA,,,,,,,,,,,,,,,,,,
PRATAPGARH,District,RANGE PRAYAGRA,,,,,,,,,,,,,,,,,,
BANDA,District,RANGE BANDA,,,,,,,,,,,,,,,,,,
HAMIRPUR,District,RANGE BANDA,,,,,,,,,,,,,,,,,,
MAHOBA,District,RANGE BANDA,,,,,,,,,,,,,,,,,,
CHITRAKOOT,District,RANGE BANDA,,,,,,,,,,,,,,,,,,
BAREILLY,District,RANGE BAREILLY,,,,,,,,,,,,,,,,,,
BUDAUN,District,RANGE BAREILLY,,,,,,,,,,,,,,,,,,
PILIBHIT,District,RANGE BAREILLY,,,,,,,,,,,,,,,,,,
SHAHJAHANPUR,District,RANGE BAREILLY,,,,,,,,,,,,,,,,,,
AMROHA,District,RANGE MORADABAD,,,,,,,,,,,,,,,,,,
BIJNOR,District,RANGE MORADABAD,,,,,,,,,,,,,,,,,,
MORADABAD,District,RANGE MORADABAD,,,,,,,,,,,,,,,,,,
RAMPUR,District,RANGE MORADABAD,,,,,,,,,,,,,,,,,,
SAMBHAL,District,RANGE MORADABAD,,,,,,,,,,,,,,,,,,
DEORIA,District,RANGE GORAKHPUR,,,,,,,,,,,,,,,,,,
GORAKHPUR,District,RANGE GORAKHPUR,,,,,,,,,,,,,,,,,,
KUSHINAGAR,District,RANGE GORAKHPUR,,,,,,,,,,,,,,,,,,
MAHARAJGANJ,District,RANGE GORAKHPUR,,,,,,,,,,,,,,,,,,
BASTI,District,RANGE BASTI,,,,,,,,,,,,,,,,,,
SANTKABIRNAGAR,District,RANGE BASTI,,,,,,,,,,,,,,,,,,
SIDDHARTHNAGAR,District,RANGE BASTI,,,,,,,,,,,,,,,,,,
GONDA,District,RANGE DEVIPATAN,,,,,,,,,,,,,,,,,,
BALRAMPUR,District,RANGE DEVIPATAN,,,,,,,,,,,,,,,,,,
BEHRAICH,District,RANGE DEVIPATAN,,,,,,,,,,,,,,,,,,
SHRAVASTI,District,RANGE DEVIPATAN,,,,,,,,,,,,,,,,,,
KANPUR DEHAT,District,RANGE KANPUR,,,,,,,,,,,,,,,,,,
ETAWAH,District,RANGE KANPUR,,,,,,,,,,,,,,,,,,
AURAIYA,District,RANGE KANPUR,,,,,,,,,,,,,,,,,,
FATEHGARH,District,RANGE KANPUR,,,,,,,,,,,,,,,,,,
KANNAUJ,District,RANGE KANPUR,,,,,,,,,,,,,,,,,,
JHANSI,District,RANGE JHANSI,,,,,,,,,,,,,,,,,,
JALAUN,District,RANGE JHANSI,,,,,,,,,,,,,,,,,,
LALITPUR,District,RANGE JHANSI,,,,,,,,,,,,,,,,,,
HARDOI,District,RANGE LUCKNOW,,,,,,,,,,,,,,,,,,
KHERI,District,RANGE LUCKNOW,,,,,,,,,,,,,,,,,,
RAEBARELLI,District,RANGE LUCKNOW,,,,,,,,,,,,,,,,,,
SITAPUR,District,RANGE LUCKNOW,,,,,,,,,,,,,,,,,,
UNNAO,District,RANGE LUCKNOW,,,,,,,,,,,,,,,,,,
AYODHYA,District,RANGE AYODHYA,,,,,,,,,,,,,,,,,,
SULTANPUR,District,RANGE AYODHYA,,,,,,,,,,,,,,,,,,
BARABANK,District,RANGE AYODHYA,,,,,,,,,,,,,,,,,,
AMBEDKARNAGAR,District,RANGE AYODHYA,,,,,,,,,,,,,,,,,,
AMETHI,District,RANGE AYODHYA,,,,,,,,,,,,,,,,,,
MEERUT,District,RANGE MEERUT,,,,,,,,,,,,,,,,,,
BULANDSHAHAR,District,RANGE MEERUT,,,,,,,,,,,,,,,,,,
BAGHPAT,District,RANGE MEERUT,,,,,,,,,,,,,,,,,,
HAPUR,District,RANGE MEERUT,,,,,,,,,,,,,,,,,,
SAHARANPUR,District,RANGE SAHARANPUR,,,,,,,,,,,,,,,,,,
MUZAFFARNAGAR,District,RANGE SAHARANPUR,,,,,,,,,,,,,,,,,,
SHAMLI,District,RANGE SAHARANPUR,,,,,,,,,,,,,,,,,,
CHANDAULI,District,RANGE VARANASI,,,,,,,,,,,,,,,,,,
GHAZIPUR,District,RANGE VARANASI,,,,,,,,,,,,,,,,,,
JAUNPUR,District,RANGE VARANASI,,,,,,,,,,,,,,,,,,
AZAMGARH,District,RANGE AZAMGARH,,,,,,,,,,,,,,,,,,
MAU,District,RANGE AZAMGARH,,,,,,,,,,,,,,,,,,
BALLIA,District,RANGE AZAMGARH,,,,,,,,,,,,,,,,,,
MIRZAPUR,District,RANGE MIRZAPUR,,,,,,,,,,,,,,,,,,
SONBHADRA,District,RANGE MIRZAPUR,,,,,,,,,,,,,,,,,,
BHADOHI,District,RANGE MIRZAPUR,,,,,,,,,,,,,,,,,,
COMM AGRA,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM LUCKNOW,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM GAUTAMBUDHNAGAR,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM VARANASI,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM KANPUR,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM GHAZIABAD,District,Command Head Office,,,,,,,,,,,,,,,,,,
COMM PRAYAGRAJ,District,Command Head Office,,,,,,,,,,,,,,,,,,
